"key","en English","ur اردو","ar العربية","hi हिन्दी","fr Français","es Español","pt Português","ru Русский","zh 中文","bn বাংলা","tr Türkçe","id Bahasa Indonesia","de Deutsch","fa فارسی","sw Kiswahili","it Italiano","ja 日本語","ko 한국어","vi Tiếng Việt","th ไทย","nl Nederlands","pl Polski","uk Українська","tl Filipino","ta தமிழ்"
"sub","Visa Apply Directory","ویزا اپلائی ڈائریکٹری","دليل التقديم على التأشيرة","वीज़ा आवेदन डायरेक्टरी","Annuaire de demande de visa","Directorio de solicitud de visa","Diretório de pedido de visto","Справочник по подаче на визу","签证申请目录","ভিসা আবেদন ডিরেক্টরি","Vize Başvuru Rehberi","Direktori Pengajuan Visa","Visa-Antrags-Verzeichnis","فهرست درخواست ویزا","Orodha ya Maombi ya Visa","Elenco richieste di visto","ビザ申請ディレクトリ","비자 신청 디렉터리","Danh bạ xin thị thực","ไดเรกทอรีสมัครวีซ่า","Visumaanvraag-gids","Katalog wniosków wizowych","Довідник подання на візу","Direktoryo ng Aplikasyon sa Visa","விசா விண்ணப்ப அடைவு"
"search","Search country...","ملک تلاش کریں...","ابحث عن دولة...","देश खोजें...","Rechercher un pays...","Buscar país...","Pesquisar país...","Поиск страны...","搜索国家...","দেশ খুঁজুন...","Ülke ara...","Cari negara...","Land suchen...","جستجوی کشور...","Tafuta nchi...","Cerca paese...","国を検索...","국가 검색...","Tìm quốc gia...","ค้นหาประเทศ...","Zoek land...","Szukaj kraju...","Пошук країни...","Maghanap ng bansa...","நாட்டைத் தேடுங்கள்..."
"clear","Clear","صاف کریں","مسح","साफ़ करें","Effacer","Borrar","Limpar","Очистить","清除","মুছুন","Temizle","Hapus","Leeren","پاک کردن","Futa","Cancella","クリア","지우기","Xóa","ล้าง","Wissen","Wyczyść","Очистити","I-clear","அழி"
"hint","Select a country and open its visa application or official visa-information page.","کوئی ملک منتخب کریں اور اس کی ویزا درخواست یا سرکاری ویزا معلومات کا صفحہ کھولیں۔","اختر دولة وافتح صفحة طلب التأشيرة أو صفحة معلومات التأشيرة الرسمية.","कोई देश चुनें और उसका वीज़ा आवेदन या आधिकारिक वीज़ा जानकारी पेज खोलें।","Choisissez un pays et ouvrez sa page de demande de visa ou d'information officielle.","Elige un país y abre su solicitud de visa o su página oficial de información.","Escolha um país e abra o pedido de visto ou a página oficial de informações.","Выберите страну и откройте страницу подачи заявления на визу или официальную информацию.","选择一个国家，打开其签证申请或官方签证信息页面。","একটি দেশ বেছে নিন এবং তার ভিসা আবেদন বা সরকারি ভিসা তথ্যের পেজ খুলুন।","Bir ülke seçin ve vize başvurusunu veya resmi vize bilgi sayfasını açın.","Pilih negara lalu buka pengajuan visa atau halaman informasi visa resminya.","Wähle ein Land und öffne den Visumantrag oder die offizielle Informationsseite.","یک کشور انتخاب کنید و صفحه درخواست ویزا یا اطلاعات رسمی ویزای آن را باز کنید.","Chagua nchi kisha fungua ukurasa wa maombi ya visa au taarifa rasmi za visa.","Scegli un paese e apri la richiesta di visto o la pagina ufficiale di informazioni.","国を選んで、ビザ申請ページまたは公式のビザ情報ページを開きます。","국가를 선택하고 비자 신청 또는 공식 비자 정보 페이지를 여세요.","Chọn một quốc gia và mở trang xin thị thực hoặc trang thông tin thị thực chính thức.","เลือกประเทศ แล้วเปิดหน้าสมัครวีซ่าหรือหน้าข้อมูลวีซ่าอย่างเป็นทางการ","Kies een land en open de visumaanvraag of de officiële informatiepagina.","Wybierz kraj i otwórz wniosek wizowy lub oficjalną stronę z informacjami o wizie.","Виберіть країну та відкрийте сторінку подання на візу або офіційну інформацію.","Pumili ng bansa at buksan ang aplikasyon sa visa o opisyal na pahina ng impormasyon.","ஒரு நாட்டைத் தேர்ந்தெடுத்து, அதன் விசா விண்ணப்பம் அல்லது அதிகாரப்பூர்வ விசா தகவல் பக்கத்தைத் திறக்கவும்."
"r_all","All","سب","الكل","सभी","Tous","Todos","Todos","Все","全部","সব","Tümü","Semua","Alle","همه","Zote","Tutti","すべて","전체","Tất cả","ทั้งหมด","Alle","Wszystkie","Усі","Lahat","அனைத்தும்"
"r_africa","Africa","افریقہ","أفريقيا","अफ़्रीका","Afrique","África","África","Африка","非洲","আফ্রিকা","Afrika","Afrika","Afrika","آفریقا","Afrika","Africa","アフリカ","아프리카","Châu Phi","แอฟริกา","Afrika","Afryka","Африка","Africa","ஆப்பிரிக்கா"
"r_americas","Americas","امریکا","الأمريكتان","अमेरिका","Amériques","América","Américas","Америка","美洲","আমেরিকা","Amerika","Amerika","Amerika","آمریکا","Amerika","Americhe","アメリカ","아메리카","Châu Mỹ","อเมริกา","Amerika","Ameryka","Америка","Amerika","அமெரிக்கா"
"r_asia","Asia","ایشیا","آسيا","एशिया","Asie","Asia","Ásia","Азия","亚洲","এশিয়া","Asya","Asia","Asien","آسیا","Asia","Asia","アジア","아시아","Châu Á","เอเชีย","Azië","Azja","Азія","Asya","ஆசியா"
"r_europe","Europe","یورپ","أوروبا","यूरोप","Europe","Europa","Europa","Европа","欧洲","ইউরোপ","Avrupa","Eropa","Europa","اروپا","Ulaya","Europa","ヨーロッパ","유럽","Châu Âu","ยุโรป","Europa","Europa","Європа","Europa","ஐரோப்பா"
"r_oceania","Oceania","اوشیانا","أوقيانوسيا","ओशिनिया","Océanie","Oceanía","Oceania","Океания","大洋洲","ওশেনিয়া","Okyanusya","Oseania","Ozeanien","اقیانوسیه","Oceania","Oceania","オセアニア","오세아니아","Châu Đại Dương","โอเชียเนีย","Oceanië","Oceania","Океанія","Oceania","ஓசியானியா"
"apply","Open Visa Apply ↗","ویزا اپلائی کھولیں ↗","افتح التقديم على التأشيرة ↗","वीज़ा आवेदन खोलें ↗","Ouvrir la demande de visa ↗","Abrir solicitud de visa ↗","Abrir pedido de visto ↗","Открыть подачу на визу ↗","打开签证申请 ↗","ভিসা আবেদন খুলুন ↗","Vize Başvurusunu Aç ↗","Buka Pengajuan Visa ↗","Visumantrag öffnen ↗","باز کردن درخواست ویزا ↗","Fungua Maombi ya Visa ↗","Apri richiesta di visto ↗","ビザ申請を開く ↗","비자 신청 열기 ↗","Mở trang xin thị thực ↗","เปิดหน้าสมัครวีซ่า ↗","Visumaanvraag openen ↗","Otwórz wniosek wizowy ↗","Відкрити подання на візу ↗","Buksan ang Aplikasyon sa Visa ↗","விசா விண்ணப்பத்தைத் திற ↗"
"note","Check the official government site before applying.","درخواست دینے سے پہلے سرکاری حکومتی ویب سائٹ چیک کریں۔","تحقق من الموقع الحكومي الرسمي قبل التقديم.","आवेदन से पहले आधिकारिक सरकारी वेबसाइट ज़रूर देखें।","Vérifiez le site officiel du gouvernement avant de faire une demande.","Consulta el sitio web oficial del gobierno antes de solicitar.","Confira o site oficial do governo antes de solicitar.","Перед подачей проверьте официальный сайт правительства.","申请前请查看政府官方网站。","আবেদনের আগে সরকারি অফিসিয়াল ওয়েবসাইট দেখে নিন।","Başvurmadan önce resmi hükümet sitesini kontrol edin.","Periksa situs resmi pemerintah sebelum mengajukan.","Prüfe vor dem Antrag die offizielle Regierungswebsite.","پیش از درخواست، وب‌سایت رسمی دولت را بررسی کنید.","Angalia tovuti rasmi ya serikali kabla ya kuomba.","Controlla il sito ufficiale del governo prima di fare richiesta.","申請の前に、政府の公式サイトを確認してください。","신청 전에 정부 공식 웹사이트를 확인하세요.","Hãy kiểm tra trang web chính thức của chính phủ trước khi nộp đơn.","ตรวจสอบเว็บไซต์ทางการของรัฐบาลก่อนสมัคร","Controleer de officiële overheidswebsite voordat je aanvraagt.","Przed złożeniem wniosku sprawdź oficjalną stronę rządową.","Перед поданням перевірте офіційний сайт уряду.","Tingnan ang opisyal na website ng gobyerno bago mag-apply.","விண்ணப்பிக்கும் முன் அரசின் அதிகாரப்பூர்வ இணையதளத்தைச் சரிபார்க்கவும்."
"help","Link not working? Search the official site","لنک نہیں کھل رہا؟ سرکاری سائٹ تلاش کریں","الرابط لا يعمل؟ ابحث عن الموقع الرسمي","लिंक नहीं खुल रहा? आधिकारिक साइट खोजें","Lien inactif ? Chercher le site officiel","¿El enlace no funciona? Busca el sitio oficial","O link não funciona? Procure o site oficial","Ссылка не работает? Найдите официальный сайт","链接打不开？搜索官方网站","লিংক কাজ করছে না? অফিসিয়াল সাইট খুঁজুন","Bağlantı çalışmıyor mu? Resmi siteyi arayın","Tautan tidak berfungsi? Cari situs resmi","Link funktioniert nicht? Offizielle Seite suchen","لینک کار نمی‌کند؟ سایت رسمی را جستجو کنید","Kiungo hakifanyi kazi? Tafuta tovuti rasmi","Il link non funziona? Cerca il sito ufficiale","リンクが開かない？公式サイトを検索","링크가 열리지 않나요? 공식 사이트 검색","Liên kết không hoạt động? Tìm trang chính thức","ลิงก์ใช้ไม่ได้? ค้นหาเว็บไซต์ทางการ","Werkt de link niet? Zoek de officiële site","Link nie działa? Wyszukaj oficjalną stronę","Посилання не працює? Знайдіть офіційний сайт","Hindi gumagana ang link? Hanapin ang opisyal na site","இணைப்பு வேலை செய்யவில்லையா? அதிகாரப்பூர்வ தளத்தைத் தேடுங்கள்"
"empty","No country found.","کوئی ملک نہیں ملا۔","لم يتم العثور على دولة.","कोई देश नहीं मिला।","Aucun pays trouvé.","No se encontró ningún país.","Nenhum país encontrado.","Страна не найдена.","未找到国家。","কোনো দেশ পাওয়া যায়নি।","Ülke bulunamadı.","Negara tidak ditemukan.","Kein Land gefunden.","کشوری پیدا نشد.","Hakuna nchi iliyopatikana.","Nessun paese trovato.","国が見つかりません。","국가를 찾을 수 없습니다.","Không tìm thấy quốc gia.","ไม่พบประเทศ","Geen land gevonden.","Nie znaleziono kraju.","Країну не знайдено.","Walang nahanap na bansa.","நாடு எதுவும் கிடைக்கவில்லை."
